loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,delinq_2yrs,revol_util,total_acc
15000,36,0.0735,465.57,A,6 years,MORTGAGE,50000.0,Charged Off,credit_card,18.34,0,0.383,12
28600,60,0.21149999,776.15,E,4 years,MORTGAGE,85000.0,Fully Paid,debt_consolidation,22.52,0,0.229,51
14950,60,0.16780001,369.78,C,10+ years,MORTGAGE,56000.0,Fully Paid,debt_consolidation,20.22,0,0.925,22
6000,36,0.1299,202.14,B,,RENT,39000.0,Fully Paid,debt_consolidation,21.29,0,0.48400003,19
4800,36,0.1531,167.13,C,10+ years,MORTGAGE,43000.0,Fully Paid,debt_consolidation,24.36,0,0.65400004,14
15000,36,0.119899996,498.15,B,7 years,MORTGAGE,55000.0,Fully Paid,debt_consolidation,21.62,0,0.524,31
9000,36,0.053200003,271.04,A,10+ years,MORTGAGE,45000.0,Fully Paid,medical,4.27,0,0.11399999,31
10000,36,0.106400006,325.69,B,< 1 year,MORTGAGE,115000.0,Fully Paid,debt_consolidation,10.38,2,0.73,43
14400,36,0.1268,482.98,C,1 year,RENT,80000.0,Fully Paid,debt_consolidation,5.96,0,0.667,13
25000,60,0.1903,648.93,D,4 years,MORTGAGE,118000.0,Fully Paid,debt_consolidation,25.73,1,0.91,39
16750,36,0.1433,575.17,C,10+ years,MORTGAGE,38000.0,Fully Paid,credit_card,32.87,0,0.6,17
2500,36,0.1091,81.75,B,10+ years,OWN,65000.0,Fully Paid,debt_consolidation,9.79,0,0.876,10
6000,36,0.121199995,199.63,B,10+ years,MORTGAGE,170000.0,Fully Paid,debt_consolidation,6.49,0,0.011,63
16000,36,0.1409,547.55,B,10+ years,RENT,50000.0,Fully Paid,debt_consolidation,33.79,0,0.77099997,16
3075,36,0.1299,103.6,B,10+ years,MORTGAGE,36000.0,Charged Off,debt_consolidation,21.17,0,0.074,18
24000,36,0.1091,784.71,B,4 years,MORTGAGE,75183.0,Fully Paid,debt_consolidation,16.87,0,0.38900003,36
7200,36,0.070700005,222.55,A,1 year,RENT,60000.0,Fully Paid,other,9.1,0,0.443,11
7000,36,0.094399996,224.04,B,7 years,MORTGAGE,92000.0,Fully Paid,credit_card,11.48,1,0.465,27
7050,36,0.1777,254.07,D,10+ years,RENT,35300.0,Charged Off,debt_consolidation,16.66,0,0.84400004,22
7500,36,0.0721,232.3,A,3 years,MORTGAGE,80000.0,Fully Paid,credit_card,14.85,0,0.282,19
5500,36,0.1262,184.32,C,10+ years,OWN,58160.0,Fully Paid,debt_consolidation,13.12,2,0.253,30
8000,36,0.094399996,256.04,B,,RENT,34000.0,Charged Off,debt_consolidation,23.33,0,0.32,66
16000,36,0.1359,543.67,C,10+ years,MORTGAGE,94000.0,Fully Paid,debt_consolidation,24.89,0,0.83599997,25
12025,36,0.1409,411.52,B,7 years,RENT,84000.0,Fully Paid,debt_consolidation,23.32,0,0.273,34
27575,60,0.19049999,716.07,D,,MORTGAGE,71700.0,Fully Paid,debt_consolidation,16.37,0,0.52900004,30
20000,36,0.121199995,665.44,B,10+ years,MORTGAGE,90000.0,Fully Paid,other,24.54,0,0.64699996,38
12000,36,0.0542,361.92,A,4 years,MORTGAGE,140000.0,Fully Paid,other,7.05,0,0.1,40
20000,36,0.143,686.48,C,10+ years,MORTGAGE,75000.0,Fully Paid,debt_consolidation,25.38,0,0.69699997,22
2800,36,0.0797,87.71,A,10+ years,RENT,36000.0,Fully Paid,other,19.8,0,0.28100002,25
22000,36,0.0788,688.19,A,3 years,RENT,99996.0,Fully Paid,major_purchase,5.0,0,0.072,50
18000,36,0.15100001,624.86,C,6 years,MORTGAGE,91000.0,Fully Paid,debt_consolidation,28.76,0,0.701,36
5000,36,0.1262,167.56,C,10+ years,RENT,101000.0,Fully Paid,credit_card,14.52,0,0.62700003,19
2500,36,0.1903,91.68,D,10+ years,MORTGAGE,32000.0,Charged Off,other,11.59,1,0.402,27
9250,36,0.1825,335.58,D,9 years,MORTGAGE,78000.0,Fully Paid,other,19.43,2,0.146,33
15000,36,0.1427,514.64,C,2 years,RENT,70000.0,Fully Paid,debt_consolidation,15.05,0,0.672,29
6075,36,0.1155,200.48,B,7 years,RENT,24000.0,Fully Paid,credit_card,15.61,0,0.357,10
7000,60,0.1,148.73,B,7 years,MORTGAGE,84000.0,Fully Paid,home_improvement,15.26,0,0.63,23
21000,36,0.088999994,666.82,A,4 years,MORTGAGE,160000.0,Fully Paid,debt_consolidation,17.91,0,0.829,24
23500,60,0.16290002,575.11,C,4 years,RENT,52674.0,Fully Paid,debt_consolidation,24.08,0,0.95,18
12000,36,0.119899996,398.52,B,3 years,MORTGAGE,60000.0,Charged Off,debt_consolidation,23.86,0,0.939,17
30000,36,0.1065,977.2,B,7 years,MORTGAGE,175000.0,Fully Paid,debt_consolidation,17.15,0,0.569,47
16000,36,0.1368,544.36,C,10+ years,MORTGAGE,115000.0,Fully Paid,debt_consolidation,7.14,1,0.65300006,28
20000,60,0.16290002,489.45,C,10+ years,MORTGAGE,60000.0,Fully Paid,debt_consolidation,14.7,0,0.88,16
20000,36,0.094399996,640.1,B,10+ years,RENT,86184.0,Fully Paid,debt_consolidation,24.19,0,0.45,29
15000,60,0.1433,351.6,C,10+ years,MORTGAGE,68000.0,Fully Paid,credit_card,15.04,2,0.406,15
8875,36,0.1433,304.76,C,2 years,MORTGAGE,38000.0,Charged Off,wedding,24.54,0,0.428,33
12000,36,0.1588,421.18,C,7 years,RENT,50000.0,Charged Off,credit_card,23.83,0,0.95199996,7
15000,36,0.1311,506.21,B,1 year,RENT,65000.0,Fully Paid,debt_consolidation,19.35,1,0.56299996,20
3500,36,0.1408,119.76,C,7 years,RENT,54000.0,Fully Paid,other,23.06,2,0.278,22
7000,36,0.106400006,227.98,B,1 year,MORTGAGE,150000.0,Fully Paid,credit_card,23.67,0,0.851,46
4800,36,0.119899996,159.41,B,,MORTGAGE,0.0,Fully Paid,debt_consolidation,-2.0,0,0.091000006,25
7000,36,0.0971,224.92,B,4 years,RENT,80000.0,Fully Paid,debt_consolidation,22.67,0,0.559,27
6500,36,0.162,229.17,C,7 years,MORTGAGE,80000.0,Fully Paid,debt_consolidation,17.88,0,0.78300005,35
10000,36,0.079,312.91,A,< 1 year,OWN,45000.0,Fully Paid,debt_consolidation,20.64,0,0.6,21
15250,36,0.1311,514.61,C,6 years,MORTGAGE,55493.0,Charged Off,major_purchase,11.89,0,0.312,13
3600,36,0.0608,109.65,A,,RENT,30000.0,Charged Off,credit_card,2.92,0,0.118999995,2
24000,36,0.088999994,762.08,A,6 years,MORTGAGE,71976.0,Fully Paid,home_improvement,6.39,0,0.301,41
1600,36,0.16780001,56.87,C,1 year,RENT,50000.0,Fully Paid,debt_consolidation,21.74,0,0.548,11
40000,36,0.094399996,1280.2,B,10+ years,RENT,85000.0,Fully Paid,credit_card,15.08,0,0.691,29
10000,36,0.1359,339.79,C,10+ years,MORTGAGE,49000.0,Charged Off,debt_consolidation,20.87,1,0.519,25
8000,36,0.1777,288.3,D,< 1 year,MORTGAGE,29000.0,Fully Paid,debt_consolidation,22.88,0,0.491,19
10000,36,0.1016,323.43,B,8 years,MORTGAGE,56325.0,Fully Paid,home_improvement,13.66,0,0.473,17
12000,60,0.1602,291.95,C,10+ years,RENT,60600.0,Charged Off,credit_card,39.33,0,0.739,20
4000,36,0.1353,135.8,B,8 years,RENT,28000.0,Fully Paid,credit_card,31.93,0,0.48900002,24
5000,36,0.1408,171.09,C,1 year,RENT,50960.0,Fully Paid,major_purchase,18.72,0,0.16,11
6625,36,0.1398,226.37,C,,MORTGAGE,27000.0,Charged Off,credit_card,26.71,0,0.78,22
12300,60,0.1757,309.47,D,10+ years,MORTGAGE,66000.0,Fully Paid,debt_consolidation,11.53,0,0.573,19
12000,60,0.1528,287.25,D,6 years,RENT,72000.0,Fully Paid,debt_consolidation,17.87,0,0.649,21
5000,36,0.19520001,184.6,D,7 years,OWN,35480.0,Charged Off,debt_consolidation,34.33,0,0.519,16
10000,60,0.1042,214.55,B,3 years,MORTGAGE,86000.0,Fully Paid,debt_consolidation,11.79,0,0.32599998,21
30000,60,0.1042,643.63,B,< 1 year,MORTGAGE,50000.0,Fully Paid,debt_consolidation,39.29,0,0.862,34
20000,36,0.1433,686.77,C,8 years,MORTGAGE,56000.0,Fully Paid,debt_consolidation,12.47,1,0.587,23
4800,36,0.1359,163.1,C,10+ years,RENT,130000.0,Fully Paid,major_purchase,15.5,0,0.52,43
4800,36,0.053200003,144.56,A,4 years,MORTGAGE,68000.0,Fully Paid,debt_consolidation,4.35,0,0.095,29
8500,36,0.086,268.72,A,3 years,MORTGAGE,45000.0,Fully Paid,debt_consolidation,28.27,3,0.608,25
10000,36,0.053200003,301.15,A,,MORTGAGE,45000.0,Fully Paid,credit_card,8.86,0,0.379,12
8000,36,0.0967,256.9,B,3 years,MORTGAGE,62000.0,Fully Paid,credit_card,23.86,1,0.095,28
5000,36,0.1262,167.56,C,2 years,RENT,52000.0,Charged Off,debt_consolidation,21.14,0,0.396,13
19975,36,0.1368,679.6,C,1 year,MORTGAGE,60000.0,Fully Paid,debt_consolidation,17.95,0,0.74,16
35000,36,0.1409,1197.75,B,10+ years,RENT,122000.0,Fully Paid,debt_consolidation,13.93,0,0.899,19
14400,36,0.1727,515.34,C,10+ years,MORTGAGE,102000.0,Fully Paid,debt_consolidation,7.64,0,0.501,43
8000,36,0.0735,248.3,A,10+ years,MORTGAGE,125000.0,Fully Paid,credit_card,20.1,0,0.425,29
7200,36,0.1311,242.98,B,10+ years,MORTGAGE,65000.0,Fully Paid,debt_consolidation,27.23,1,0.21100001,35
10000,36,0.1505,346.9,C,1 year,RENT,60000.0,Fully Paid,debt_consolidation,5.14,0,0.65800005,5
7000,36,0.1065,228.02,B,1 year,RENT,40000.0,Fully Paid,debt_consolidation,9.75,0,0.77099997,6
4500,36,0.0735,139.67,A,3 years,MORTGAGE,32190.0,Fully Paid,debt_consolidation,20.28,0,0.436,10
9000,36,0.162,317.31,C,1 year,RENT,83200.0,Fully Paid,debt_consolidation,10.41,0,0.799,19
12875,60,0.1727,321.85,D,8 years,OWN,28700.0,Fully Paid,home_improvement,19.02,0,0.885,25
16000,60,0.2,423.91,D,10+ years,RENT,120000.0,Charged Off,credit_card,18.41,0,0.696,23
5000,36,0.21,188.38,E,4 years,RENT,32000.0,Fully Paid,small_business,7.76,1,0.56,17
7200,36,0.121199995,239.56,B,4 years,MORTGAGE,40000.0,Charged Off,debt_consolidation,25.47,0,0.275,40
15000,36,0.1016,485.14,B,6 years,MORTGAGE,47000.0,Fully Paid,debt_consolidation,3.7,0,0.353,21
6375,36,0.18059999,230.67,D,2 years,RENT,33000.0,Fully Paid,car,18.18,0,0.879,11
15000,36,0.075100005,466.67,A,9 years,MORTGAGE,65004.0,Fully Paid,other,0.0,0,0.0,14
20000,60,0.202,532.11,D,4 years,MORTGAGE,117000.0,Fully Paid,home_improvement,9.3,0,0.39,20
12000,36,0.060300004,365.23,A,10+ years,MORTGAGE,36000.0,Fully Paid,medical,1.67,0,0.081,23
11200,60,0.1149,246.27,B,1 year,RENT,24000.0,Fully Paid,major_purchase,18.45,0,0.726,19
7000,36,0.12529999,234.27,C,5 years,MORTGAGE,60000.0,Fully Paid,debt_consolidation,6.64,0,0.67,40
3500,36,0.18059999,126.64,D,5 years,RENT,16200.0,Charged Off,debt_consolidation,26.09,0,0.671,17
3475,36,0.1368,118.23,C,10+ years,MORTGAGE,26000.0,Fully Paid,credit_card,29.45,0,0.66400003,33
2900,36,0.1359,98.54,C,6 years,MORTGAGE,42000.0,Fully Paid,debt_consolidation,14.49,1,0.38900003,17
20000,36,0.1602,703.34,C,3 years,MORTGAGE,65000.0,Fully Paid,debt_consolidation,32.67,0,0.42099997,23
5000,36,0.1359,169.9,C,2 years,RENT,48000.0,Fully Paid,debt_consolidation,7.65,0,0.72300005,4
35000,60,0.16290002,856.54,C,10+ years,MORTGAGE,90000.0,Fully Paid,debt_consolidation,11.24,0,0.44799998,15
8000,36,0.0762,249.3,A,,MORTGAGE,42000.0,Charged Off,other,0.0,0,0.0,23
6000,36,0.162,211.54,C,2 years,RENT,80000.0,Fully Paid,debt_consolidation,28.08,0,0.756,39
7500,36,0.119899996,249.08,B,8 years,RENT,78000.0,Fully Paid,credit_card,6.74,0,0.42400002,13
24000,60,0.2206,663.68,F,2 years,RENT,91200.0,Fully Paid,small_business,9.05,1,0.21100001,13
35000,60,0.2489,1025.05,F,10+ years,MORTGAGE,85000.0,Charged Off,debt_consolidation,15.78,0,0.761,33
8800,36,0.099300005,283.67,B,3 years,RENT,34000.0,Fully Paid,home_improvement,18.28,2,0.262,18
12000,60,0.21149999,325.66,E,10+ years,RENT,45000.0,Charged Off,credit_card,7.39,0,0.45099998,22
40000,36,0.1359,1359.16,C,5 years,MORTGAGE,150000.0,Charged Off,credit_card,17.21,0,0.445,35
7000,36,0.1757,251.56,D,10+ years,RENT,48000.0,Fully Paid,debt_consolidation,2.7,0,0.289,14
4500,60,0.1349,103.53,C,1 year,RENT,37200.0,Fully Paid,car,18.16,1,0.233,27
7000,36,0.1433,240.37,C,10+ years,RENT,63000.0,Fully Paid,debt_consolidation,16.86,0,0.76199996,6
12000,36,0.18059999,434.2,D,10+ years,OWN,36000.0,Fully Paid,debt_consolidation,20.97,0,0.41900003,26
9000,36,0.1368,306.21,C,< 1 year,RENT,70000.0,Fully Paid,debt_consolidation,9.74,0,0.75,36
3350,36,0.1367,113.96,B,7 years,RENT,21370.0,Fully Paid,major_purchase,9.6,0,0.516,11
20000,36,0.1042,649.3,B,1 year,MORTGAGE,120000.0,Fully Paid,credit_card,18.48,0,0.543,21
4000,36,0.1399,136.7,C,10+ years,RENT,44000.0,Fully Paid,debt_consolidation,4.28,0,0.791,12
15000,36,0.1091,490.45,B,5 years,OWN,55000.0,Fully Paid,debt_consolidation,6.79,0,0.45599997,53
6000,36,0.22700001,231.33,E,10+ years,OWN,95000.0,Fully Paid,debt_consolidation,25.23,0,0.879,17
32000,60,0.26299998,963.79,E,8 years,MORTGAGE,104939.0,Charged Off,debt_consolidation,20.63,0,0.926,18
10000,36,0.15100001,347.15,C,4 years,RENT,45000.0,Fully Paid,credit_card,29.77,0,0.89699996,28
4800,60,0.205,128.51,E,2 years,MORTGAGE,41000.0,Fully Paid,car,21.16,0,0.644,41
10000,36,0.234,389.19,E,3 years,RENT,31000.0,Charged Off,debt_consolidation,23.27,0,0.84099996,14
15500,60,0.2489,453.95,F,6 years,MORTGAGE,58000.0,Charged Off,debt_consolidation,33.91,0,0.589,31
15000,36,0.1972,555.32,D,6 years,MORTGAGE,51000.0,Charged Off,credit_card,5.48,0,0.70199996,17
10000,36,0.1875,365.3,D,10+ years,MORTGAGE,40000.0,Charged Off,other,31.11,0,0.932,30
17625,36,0.06,544.58,C,3 years,RENT,40000.0,Fully Paid,debt_consolidation,25.41,0,0.41799998,28
4000,36,0.16700001,142.01,E,2 years,OWN,14400.0,Fully Paid,debt_consolidation,0.0,4,0.0,10
10000,36,0.1409,342.22,B,2 years,RENT,32000.0,Fully Paid,debt_consolidation,20.06,0,0.748,32
20000,36,0.066199996,614.08,A,10+ years,MORTGAGE,105000.0,Fully Paid,credit_card,29.21,0,0.59599996,30
16800,36,0.1114,551.13,B,10+ years,MORTGAGE,68000.0,Fully Paid,debt_consolidation,27.58,0,0.766,30
16000,36,0.0999,516.2,B,5 years,MORTGAGE,51000.0,Fully Paid,debt_consolidation,14.64,0,0.74300003,23
22250,60,0.088999994,460.8,A,7 years,MORTGAGE,115000.0,Fully Paid,debt_consolidation,25.79,0,0.15,25
21000,60,0.22469999,585.63,E,3 years,MORTGAGE,64600.0,Charged Off,credit_card,21.38,0,0.687,12
10000,36,0.1505,346.9,C,1 year,MORTGAGE,63000.0,Fully Paid,other,22.76,0,0.45700002,12
8200,36,0.0925,261.72,A,< 1 year,RENT,47200.0,Fully Paid,credit_card,9.31,0,0.216,15
5000,36,0.066199996,153.52,A,< 1 year,MORTGAGE,60000.0,Fully Paid,debt_consolidation,29.02,0,0.431,21
6000,36,0.079,187.75,A,2 years,OWN,22800.0,Fully Paid,debt_consolidation,28.16,0,0.44599998,7
11100,36,0.1433,381.16,C,6 years,OWN,32000.0,Fully Paid,debt_consolidation,34.05,0,0.439,21
18000,60,0.22399999,501.25,E,6 years,OWN,41000.0,Charged Off,debt_consolidation,31.47,0,0.29,28
8000,36,0.060300004,243.49,A,2 years,OWN,60000.0,Fully Paid,debt_consolidation,8.74,0,0.20899999,25
18250,60,0.258,544.26,G,3 years,RENT,41500.0,Charged Off,debt_consolidation,23.19,0,0.96,26
24925,60,0.1299,567.0,B,10+ years,RENT,56508.0,Fully Paid,debt_consolidation,19.93,0,0.505,39
33500,36,0.070700005,1035.46,A,5 years,MORTGAGE,125000.0,Fully Paid,credit_card,14.82,0,0.397,26
12800,36,0.1299,431.23,B,8 years,RENT,36000.0,Fully Paid,debt_consolidation,19.7,0,0.48700002,29
12000,36,0.1099,392.81,B,7 years,MORTGAGE,72000.0,Fully Paid,home_improvement,4.97,0,0.568,14
30000,36,0.1091,980.89,B,10+ years,RENT,100000.0,Fully Paid,credit_card,10.79,0,0.45099998,14
10000,36,0.121199995,332.72,B,10+ years,RENT,60000.0,Fully Paid,debt_consolidation,12.4,1,0.204,28
8000,36,0.0542,241.28,A,1 year,MORTGAGE,60000.0,Fully Paid,other,7.96,0,0.18100001,28
4000,36,0.15609999,139.86,C,10+ years,RENT,40000.0,Charged Off,debt_consolidation,16.59,0,0.542,22
2500,36,0.1602,87.92,C,,RENT,18276.0,Fully Paid,other,27.58,0,0.679,22
2400,60,0.2408,69.16,F,5 years,RENT,52000.0,Fully Paid,other,12.35,0,0.38799998,38
35000,60,0.1262,789.57,C,3 years,RENT,125000.0,Charged Off,debt_consolidation,7.83,0,0.201,14
21600,60,0.119899996,480.38,B,10+ years,MORTGAGE,110000.0,Fully Paid,debt_consolidation,8.27,0,0.644,28
7750,36,0.1855,282.33,D,5 years,RENT,32394.08,Charged Off,other,14.63,0,0.365,25
19375,36,0.26299998,783.74,E,4 years,MORTGAGE,26374.41,Charged Off,debt_consolidation,36.64,0,0.6,16
6025,36,0.094399996,192.83,B,,MORTGAGE,36000.0,Charged Off,debt_consolidation,24.53,0,0.587,14
7200,36,0.162,253.85,C,,RENT,32000.0,Fully Paid,debt_consolidation,15.53,0,0.53,28
26400,60,0.21700001,724.65,E,6 years,MORTGAGE,75000.0,Fully Paid,credit_card,16.54,1,0.16600001,23
7750,36,0.0999,250.04,B,4 years,MORTGAGE,62000.0,Fully Paid,debt_consolidation,6.2,0,0.428,19
14000,60,0.1903,363.4,D,10+ years,RENT,70000.0,Charged Off,debt_consolidation,10.83,0,0.16299999,28
18825,36,0.1777,678.4,D,2 years,RENT,55000.0,Fully Paid,debt_consolidation,25.09,0,0.71699995,19
25000,60,0.2582,745.85,E,1 year,MORTGAGE,92250.0,Fully Paid,other,23.72,0,0.35900003,14
18000,36,0.1099,589.22,B,6 years,MORTGAGE,125000.0,Fully Paid,debt_consolidation,17.06,0,0.761,40
5500,36,0.16290002,194.16,C,1 year,RENT,40000.0,Fully Paid,debt_consolidation,14.37,0,0.573,9
11250,36,0.119899996,373.61,B,2 years,MORTGAGE,42912.0,Fully Paid,debt_consolidation,17.0,0,0.66,24
12425,36,0.1016,401.86,B,10+ years,RENT,46228.0,Fully Paid,debt_consolidation,14.27,0,0.614,16
4000,36,0.11359999,131.65,B,< 1 year,RENT,21000.0,Fully Paid,debt_consolidation,22.92,0,0.33099997,11
30000,36,0.21700001,1141.07,E,9 years,RENT,67950.84,Charged Off,debt_consolidation,22.78,0,0.84599996,17
10000,36,0.1849,363.99,D,1 year,MORTGAGE,51500.0,Charged Off,other,31.64,0,0.88199997,29
28000,36,0.088999994,889.09,A,2 years,MORTGAGE,220000.0,Fully Paid,home_improvement,8.25,0,0.283,15
20675,60,0.158,500.59,C,10+ years,OWN,114000.0,Charged Off,debt_consolidation,25.33,0,0.932,44
12000,36,0.1602,422.01,C,6 years,OWN,105000.0,Fully Paid,debt_consolidation,21.36,0,0.275,18
32000,60,0.2167,877.82,F,10+ years,MORTGAGE,93000.0,Fully Paid,home_improvement,19.81,0,0.307,35
35000,60,0.258,1043.78,G,10+ years,MORTGAGE,165384.0,Fully Paid,debt_consolidation,10.16,1,0.91,20
7000,36,0.060300004,213.05,A,2 years,RENT,78300.0,Fully Paid,debt_consolidation,1.73,0,0.176,18
9600,36,0.15100001,333.26,C,7 years,MORTGAGE,200000.0,Fully Paid,debt_consolidation,10.07,0,0.864,14
15000,36,0.066199996,460.56,A,10+ years,MORTGAGE,47000.0,Charged Off,home_improvement,18.97,1,0.191,24
8000,36,0.1602,281.34,C,10+ years,MORTGAGE,39000.0,Fully Paid,debt_consolidation,17.85,0,0.561,30
3000,36,0.094399996,96.02,B,2 years,MORTGAGE,40000.0,Fully Paid,other,19.95,1,0.637,13
7000,36,0.08939999,222.41,A,10+ years,MORTGAGE,45000.0,Charged Off,car,15.2,0,0.315,24
20850,36,0.18059999,754.41,D,10+ years,OWN,75000.0,Fully Paid,home_improvement,36.62,0,0.585,22
35000,36,0.119899996,1162.34,B,10+ years,MORTGAGE,200000.0,Fully Paid,debt_consolidation,31.89,3,0.97,25
14750,36,0.1299,496.92,C,6 years,MORTGAGE,42000.0,Fully Paid,car,19.97,0,0.353,46
8000,36,0.1114,262.45,B,6 years,RENT,54000.0,Fully Paid,credit_card,13.2,0,0.495,19
4000,36,0.1602,140.67,C,10+ years,MORTGAGE,98000.0,Fully Paid,other,7.69,1,0.42900002,32
20000,60,0.1727,499.96,C,5 years,MORTGAGE,81000.0,Fully Paid,credit_card,15.73,0,0.83800006,33
15000,36,0.1522,521.6,C,2 years,RENT,49000.0,Fully Paid,debt_consolidation,15.67,0,0.66400003,24
24000,36,0.26299998,970.82,E,10+ years,MORTGAGE,110000.0,Fully Paid,debt_consolidation,12.64,0,0.493,20
16375,60,0.1602,398.39,C,,MORTGAGE,46335.0,Fully Paid,debt_consolidation,29.58,0,0.815,21
4800,36,0.1409,164.27,B,2 years,MORTGAGE,40000.0,Fully Paid,home_improvement,11.61,0,0.48099998,10
20000,36,0.094399996,640.1,B,4 years,RENT,90000.0,Fully Paid,credit_card,15.89,0,0.667,25
24000,60,0.171,597.76,C,7 years,MORTGAGE,64000.0,Fully Paid,credit_card,33.84,0,0.893,27
